id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
334127,Rental unit in Copenhagen · ★4.88 · 1 bedroom · 1 bed · 1 bath,1702034,Mette,,Vesterbro-Kongens Enghave,55.67059,12.55651,Entire home/apt,1401,4,118,2022-09-11,0.87,1,42,5,
338928,Rental unit in Copenhagen · ★4.91 · 1 bedroom · 1 bed · 1 bath,113348,Samy,,Nrrebro,55.69388,12.54725,Entire home/apt,793,5,92,2023-03-22,0.69,1,5,4,
338992,Rental unit in Copenhagen · ★4.58 · 2 bedrooms · 1 bed · 1 shared bath,799887,Bente,,Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,1000,1,378,2022-09-26,2.75,3,0,2,
6983,Rental unit in Copenhagen · ★4.78 · 1 bedroom · 1 bed · 1 bath,16774,Simon,,Nrrebro,55.68641,12.54741,Entire home/apt,803,3,173,2023-01-02,1.03,1,0,1,
339126,Rental unit in Copenhagen · ★4.88 · 2 bedrooms · 3 beds · 1.5 baths,1589153,Michael & Bille Max,,Vesterbro-Kongens Enghave,55.67284,12.54717,Entire home/apt,2400,2,77,2023-06-19,0.57,1,128,14,
339139,Home in Copenhagen · ★4.96 · 1 bedroom · 2 beds · 1 shared bath,1722025,Annette,,Amager Vest,55.63543,12.587,Private room,385,3,140,2023-06-04,1.03,2,218,15,
26057,Home in Copenhagen · ★4.91 · 4 bedrooms · 4 beds · 1.5 baths,109777,Kari,,Indre By,55.69307,12.57649,Entire home/apt,2600,7,59,2022-08-09,0.51,1,261,1,
26473,Townhouse in Copenhagen · ★4.56 · 6 bedrooms · 5 beds · 2 baths,112210,Julia,,Indre By,55.67602,12.5754,Entire home/apt,3350,3,326,2023-06-20,2.11,10,109,33,
341822,Rental unit in Copenhagen · ★4.73 · 1 bedroom · 1 bed · 1 bath,1734238,Ma,,Indre By,55.68207,12.57336,Entire home/apt,1489,2,212,2023-06-24,1.54,1,351,7,
343137,Rental unit in Frederiksberg · ★5.0 · 3 bedrooms · 4 beds · 1 bath,1741097,Josephine,,Frederiksberg,55.67761,12.54673,Entire home/apt,1995,3,28,2022-08-04,0.21,1,192,4,
29118,Rental unit in Copenhagen · ★4.92 · 1 bedroom · 1 bed · 1 bath,125230,Nana,,Vesterbro-Kongens Enghave,55.67023,12.55504,Entire home/apt,725,7,25,2022-10-22,0.16,1,31,3,
346877,Condo in Copenhagen · ★4.67 · 1 bedroom · 1 bed · 1 bath,973643,Lars Flindt,,Indre By,55.6864,12.5797,Entire home/apt,2000,5,3,2017-08-27,0.02,1,29,0,
31094,Condo in Copenhagen · ★4.88 · 4 bedrooms · 2 beds · 1.5 baths,129976,Ebbe,,Vesterbro-Kongens Enghave,55.66660169999999,12.5552831,Entire home/apt,1954,3,19,2022-08-22,0.12,1,0,2,
