neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,type,rating,bedroom,bed,bath
Vesterbro-Kongens Enghave,55.67059,12.55651,Entire home/apt,1401,4,118,42,Rental unit in Copenhagen · ★,4.88,1.0,1.0,1.0
Nrrebro,55.69388,12.54725,Entire home/apt,793,5,92,5,Rental unit in Copenhagen · ★,4.91,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67365,12.55581,Private room,1000,1,378,0,Rental unit in Copenhagen · ★,4.58,2.0,2.0,
Nrrebro,55.68641,12.54741,Entire home/apt,803,3,173,0,Rental unit in Copenhagen · ★,4.78,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67284,12.54717,Entire home/apt,2400,2,77,128,Rental unit in Copenhagen · ★,4.88,2.0,2.0,5.0
Amager Vest,55.63543,12.587,Private room,385,3,140,218,Home in Copenhagen · ★,4.96,1.0,1.0,
Indre By,55.69307,12.57649,Entire home/apt,2600,7,59,261,Home in Copenhagen · ★,4.91,4.0,4.0,5.0
Indre By,55.67602,12.5754,Entire home/apt,3350,3,326,109,Townhouse in Copenhagen · ★,4.56,6.0,6.0,2.0
Indre By,55.68207,12.57336,Entire home/apt,1489,2,212,351,Rental unit in Copenhagen · ★,4.73,1.0,1.0,1.0
Frederiksberg,55.67761,12.54673,Entire home/apt,1995,3,28,192,Rental unit in Frederiksberg · ★,5.0,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.67023,12.55504,Entire home/apt,725,7,25,31,Rental unit in Copenhagen · ★,4.92,1.0,1.0,1.0
Indre By,55.6864,12.5797,Entire home/apt,2000,5,3,29,Condo in Copenhagen · ★,4.67,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66660169999999,12.5552831,Entire home/apt,1954,3,19,0,Condo in Copenhagen · ★,4.88,4.0,4.0,5.0
Frederiksberg,55.68266,12.53538,Entire home/apt,2000,4,26,166,Rental unit in Frederiksberg · ★,4.92,2.0,2.0,1.0
Amager Vest,55.66582,12.59675,Entire home/apt,1233,4,104,66,Rental unit in Copenhagen · ★,4.72,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.672638,12.552493,Entire home/apt,1862,3,82,3,Rental unit in Copenhagen · ★,4.91,2.0,2.0,2.0
sterbro,55.71176,12.57091,Entire home/apt,618,100,7,362,Rental unit in Copenhagen · ★,4.57,2.0,2.0,1.0
Nrrebro,55.70001,12.54819,Private room,650,3,47,0,Rental unit in Copenhagen · ★,4.91,1.0,1.0,
Indre By,55.68547,12.56543,Entire home/apt,2598,5,11,180,Rental unit in Copenhagen · ★,5.0,3.0,3.0,1.0
Nrrebro,55.68922,12.55646,Entire home/apt,655,4,81,1,Rental unit in Copenhagen · ★,4.91,2.0,2.0,1.0
Indre By,55.68428802490234,12.57301902770996,Entire home/apt,2000,3,15,6,Rental unit in Copenhagen · ★,5.0,2.0,2.0,1.0
Frederiksberg,55.68577,12.53804,Entire home/apt,857,4,315,97,Rental unit in Frederiksberg · ★,4.71,1.0,1.0,1.0
Nrrebro,55.7071,12.55386,Private room,470,2,105,94,Condo in Copenhagen · ★,4.74,1.0,1.0,
Nrrebro,55.69966,12.54517,Entire home/apt,1201,3,91,202,Rental unit in Copenhagen · ★,4.8,2.0,2.0,1.0
Frederiksberg,55.68493,12.53434,Private room,415,4,67,0,Rental unit in Frederiksberg · ★,4.82,1.0,1.0,
Frederiksberg,55.677886335175465,12.549401083844083,Entire home/apt,1700,4,11,16,Condo in Frederiksberg · ★,5.0,2.0,2.0,5.0
Indre By,55.69816,12.59008,Entire home/apt,1000,10,11,0,Rental unit in Copenhagen · ★,4.73,1.0,1.0,1.0
Frederiksberg,55.68068,12.54581,Entire home/apt,1713,6,35,86,Rental unit in Frederiksberg · ★,4.83,4.0,4.0,1.0
Indre By,55.68535,12.56127,Entire home/apt,646,3,78,0,Rental unit in Copenhagen · ★,4.86,1.0,1.0,1.0
Frederiksberg,55.67757,12.55608,Entire home/apt,3821,2,44,260,Rental unit in Frederiksberg · ★,4.98,2.0,2.0,1.0
Indre By,55.68189,12.57498,Entire home/apt,1415,3,21,84,Rental unit in Copenhagen · ★,4.56,1.0,1.0,1.0
Indre By,55.68313,12.56225,Entire home/apt,3351,3,50,2,Rental unit in Copenhagen · ★,4.76,4.0,4.0,2.0
Nrrebro,55.69013,12.55882,Entire home/apt,1450,3,36,2,Rental unit in Copenhagen · ★,4.94,3.0,3.0,1.0
Nrrebro,55.69134,12.55701,Entire home/apt,1800,1,29,320,Rental unit in Copenhagen · ★,4.66,2.0,2.0,1.0
Nrrebro,55.69035,12.56202,Entire home/apt,1043,3,42,1,Condo in Copenhagen · ★,4.69,3.0,3.0,1.0
Nrrebro,55.68828,12.56401,Entire home/apt,1341,3,14,272,Rental unit in Copenhagen · ★,4.75,2.0,2.0,1.0
sterbro,55.70673,12.58533,Private room,1703,1,22,365,Rental unit in Copenhagen · ★,4.8,1.0,1.0,1.0
Nrrebro,55.69223,12.54212,Entire home/apt,745,5,6,0,Rental unit in Copenhagen · ★,5.0,1.0,1.0,1.0
Nrrebro,55.70238,12.54765,Entire home/apt,2819,2,440,54,Rental unit in Copenhagen · ★,4.72,5.0,5.0,1.0
Indre By,55.67367,12.59132,Entire home/apt,2415,2,104,24,Rental unit in Copenhagen · ★,4.89,3.0,3.0,1.0
Vesterbro-Kongens Enghave,55.6476,12.548,Entire home/apt,2227,4,58,277,Rental unit in Copenhagen · ★,4.55,3.0,3.0,2.0
Frederiksberg,55.68701,12.53348,Entire home/apt,894,6,11,310,Rental unit in Frederiksberg · ★,5.0,1.0,1.0,1.0
Nrrebro,55.68962665100372,12.542766134475796,Entire home/apt,1584,5,36,75,Rental unit in Copenhagen · ★,4.77,4.0,4.0,1.0
Nrrebro,55.68846,12.56095,Entire home/apt,1500,7,40,32,Condo in Copenhagen · ★,4.9,3.0,3.0,1.0
sterbro,55.71316,12.57226,Entire home/apt,1486,5,24,282,Home in Copenhagen · ★,5.0,2.0,2.0,5.0
Vesterbro-Kongens Enghave,55.67013,12.54954,Entire home/apt,755,5,63,0,Condo in Copenhagen · ★,4.81,1.0,1.0,1.0
Bispebjerg,55.70016,12.53694,Entire home/apt,700,4,12,0,Rental unit in Copenhagen · ★,4.33,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.66305,12.54577,Private room,2000,7,1,301,Rental unit in Copenhagen ·,,1.0,1.0,2.0
Vesterbro-Kongens Enghave,55.66746,12.55269,Entire home/apt,893,3,24,15,Rental unit in Copenhagen · ★,4.59,2.0,2.0,1.0
Vesterbro-Kongens Enghave,55.66777,12.54844,Private room,579,1,508,164,Rental unit in Copenhagen · ★,4.66,1.0,1.0,
Nrrebro,55.70001,12.54819,Entire home/apt,1295,5,71,0,Rental unit in Copenhagen · ★,4.92,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67015,12.55007,Entire home/apt,1000,3,108,347,Rental unit in Copenhagen · ★,4.71,1.0,1.0,1.0
Indre By,55.67581,12.57425,Entire home/apt,1199,1,39,0,Rental unit in Copenhagen · ★,4.57,1.0,1.0,1.0
Vesterbro-Kongens Enghave,55.67154,12.54638,Private room,407,1,217,136,Rental unit in Copenhagen · ★,4.76,1.0,1.0,
sterbro,55.70585,12.57963,Entire home/apt,521,28,17,333,Rental unit in Copenhagen · ★,4.07,2.0,2.0,1.0
Nrrebro,55.68998,12.56223,Entire home/apt,2043,3,174,308,Loft in Copenhagen · ★,4.8,2.0,2.0,1.0
Amager Vest,55.65814,12.567,Entire home/apt,1703,7,27,1,Rental unit in Copenhagen · ★,4.96,2.0,2.0,1.0
